Liga,Správně,Celkem,Úspěšnost (%)
B1_elo,4355,9468,45.997042670046476
D1_elo,4929,11086,44.46148295147032
D2_elo,4612,11103,41.53832297577231
E0_elo,6401,13101,48.85886573544004
E1_elo,8047,17784,45.248538011695906
E2_elo,8090,17662,45.80455214584985
E3_elo,7707,17709,43.520243943757414
EC_elo,4963,10866,45.67458126265415
F1_elo,5745,12795,44.90035169988277
F2_elo,4978,11624,42.82518926359257
G1_elo,4518,9552,47.29899497487437
I1_elo,5919,12660,46.753554502369674
I2_elo,5419,12183,44.48001313305426
N1_elo,5363,11278,47.5527575811314
P1_elo,4876,10263,47.51047452012082
SC0_elo,3516,8268,42.52539912917271
SC1_elo,2511,7781,32.27091633466135
SC2_elo,2291,6133,37.35529104842655
SC3_elo,2332,6129,38.04862130853321
SP1_elo,6340,13110,48.36003051106026
SP2_elo,6006,13690,43.87143900657414
T1_elo,5206,11104,46.88400576368876
