class,feature,coefficient,abs_coefficient
AwayWin,OddsProbAway,0.25846545579214336,0.25846545579214336
AwayWin,OddsProbHome,-0.21832955668793058,0.21832955668793058
AwayWin,OddsSpreadAway,-0.12138537213154109,0.12138537213154109
AwayWin,OddsProbDraw,-0.059344872988563516,0.059344872988563516
AwayWin,shots_home,-0.04974328867677543,0.04974328867677543
AwayWin,form_points_home,-0.03942136076840987,0.03942136076840987
AwayWin,shots_on_target_home,0.03817300926448722,0.03817300926448722
AwayWin,OddsSpreadHome,0.03195621971444475,0.03195621971444475
AwayWin,table_points_diff,0.031435380735554894,0.031435380735554894
AwayWin,OddsSpreadDraw,-0.024189718898669055,0.024189718898669055
AwayWin,shots_away,0.023700531977584358,0.023700531977584358
AwayWin,table_points_home,0.01979575623520476,0.01979575623520476
AwayWin,streak_away,-0.019781494103160678,0.019781494103160678
AwayWin,form_points_away,-0.019014992794771115,0.019014992794771115
AwayWin,goal_diff_home,0.018089954562511393,0.018089954562511393
AwayWin,days_rest_home,0.015474877588008123,0.015474877588008123
AwayWin,goals_scored_home,0.014314871225319135,0.014314871225319135
AwayWin,goals_conceded_home,-0.013272124082083728,0.013272124082083728
AwayWin,streak_home,-0.009437987873954452,0.009437987873954452
AwayWin,home_form_home,-0.007013059709577192,0.007013059709577192
AwayWin,days_rest_away,-0.0068222644897990925,0.0068222644897990925
AwayWin,elo_home,-0.004015799347620357,0.004015799347620357
AwayWin,elo_away,-0.0031024394940604213,0.0031024394940604213
AwayWin,goal_diff_away,-0.0030923041360222782,0.0030923041360222782
AwayWin,goals_scored_away,-0.0030416366230394494,0.0030416366230394494
AwayWin,table_points_away,-0.0029901111677494746,0.0029901111677494746
AwayWin,away_form_away,-0.001814596779086801,0.001814596779086801
AwayWin,elo_diff,-0.0016987752648598823,0.0016987752648598823
AwayWin,goals_conceded_away,0.00162914859783045,0.00162914859783045
AwayWin,shots_on_target_away,-0.0012719681051426858,0.0012719681051426858
AwayWin,is_home,0.0,0.0
Draw,OddsProbDraw,0.12667516633350906,0.12667516633350906
Draw,OddsSpreadAway,0.043240760678977475,0.043240760678977475
Draw,OddsProbAway,-0.04203456581462624,0.04203456581462624
Draw,OddsSpreadHome,0.03541988393983911,0.03541988393983911
Draw,form_points_home,0.03261373036837088,0.03261373036837088
Draw,shots_on_target_home,-0.024757957881197962,0.024757957881197962
Draw,goals_conceded_home,0.024340434049221257,0.024340434049221257
Draw,form_points_away,0.022208799591753158,0.022208799591753158
Draw,goal_diff_home,-0.02036711810894524,0.02036711810894524
Draw,streak_home,0.018857328408945658,0.018857328408945658
Draw,elo_diff,0.018638753559524414,0.018638753559524414
Draw,table_points_diff,-0.018288612396488553,0.018288612396488553
Draw,elo_home,0.014190155632635329,0.014190155632635329
Draw,table_points_home,-0.013708531834892502,0.013708531834892502
Draw,shots_home,0.012142886403403505,0.012142886403403505
Draw,home_form_home,0.010880739113377705,0.010880739113377705
Draw,days_rest_away,-0.010524388291757343,0.010524388291757343
Draw,streak_away,0.00940827988924031,0.00940827988924031
Draw,OddsSpreadDraw,0.009373854345874929,0.009373854345874929
Draw,goals_scored_away,-0.0071028616782458035,0.0071028616782458035
Draw,goals_scored_home,-0.007077043085778518,0.007077043085778518
Draw,shots_on_target_away,0.006650637881108554,0.006650637881108554
Draw,days_rest_home,0.005334104161927683,0.005334104161927683
Draw,shots_away,-0.004560592326605807,0.004560592326605807
Draw,elo_away,0.00419012302366846,0.00419012302366846
Draw,goals_conceded_away,-0.003819849870458461,0.003819849870458461
Draw,OddsProbHome,0.003324426028400065,0.003324426028400065
Draw,goal_diff_away,-0.00237140503382225,0.00237140503382225
Draw,table_points_away,-0.00045094548238297765,0.00045094548238297765
Draw,away_form_away,0.0004405016380749772,0.0004405016380749772
Draw,is_home,0.0,0.0
HomeWin,OddsProbAway,-0.21643088997751703,0.21643088997751703
HomeWin,OddsProbHome,0.21500513065953067,0.21500513065953067
HomeWin,OddsSpreadAway,0.07814461145256364,0.07814461145256364
HomeWin,OddsSpreadHome,-0.06737610365428377,0.06737610365428377
HomeWin,OddsProbDraw,-0.06733029334494549,0.06733029334494549
HomeWin,shots_home,0.037600402273371844,0.037600402273371844
HomeWin,days_rest_home,-0.020808981749935822,0.020808981749935822
HomeWin,shots_away,-0.019139939650978648,0.019139939650978648
HomeWin,days_rest_away,0.017346652781556355,0.017346652781556355
HomeWin,elo_diff,-0.016939978294664666,0.016939978294664666
HomeWin,OddsSpreadDraw,0.014815864552794175,0.014815864552794175
HomeWin,shots_on_target_home,-0.013415051383289254,0.013415051383289254
HomeWin,table_points_diff,-0.013146768339066119,0.013146768339066119
HomeWin,goals_conceded_home,-0.011068309967137759,0.011068309967137759
HomeWin,streak_away,0.010373214213920316,0.010373214213920316
HomeWin,elo_home,-0.010174356285014998,0.010174356285014998
HomeWin,goals_scored_away,0.010144498301285283,0.010144498301285283
HomeWin,streak_home,-0.009419340534991208,0.009419340534991208
HomeWin,goals_scored_home,-0.0072378281395405995,0.0072378281395405995
HomeWin,form_points_home,0.0068076304000389545,0.0068076304000389545
HomeWin,table_points_home,-0.0060872244003123055,0.0060872244003123055
HomeWin,goal_diff_away,0.005463709169844435,0.005463709169844435
HomeWin,shots_on_target_away,-0.00537866977596581,0.00537866977596581
HomeWin,home_form_home,-0.0038676794038004533,0.0038676794038004533
HomeWin,table_points_away,0.0034410566501325212,0.0034410566501325212
HomeWin,form_points_away,-0.0031938067969820736,0.0031938067969820736
HomeWin,goal_diff_home,0.0022771635464338457,0.0022771635464338457
HomeWin,goals_conceded_away,0.0021907012726279725,0.0021907012726279725
HomeWin,away_form_away,0.0013740951410117768,0.0013740951410117768
HomeWin,elo_away,-0.001087683529608065,0.001087683529608065
HomeWin,is_home,0.0,0.0
